val2,1617892621662427614,0
end,1617892621716240191,73823308
end,1617892622779380766,1333748
end,1617892637103621612,9403478767
val0,1617892637110191180,1
val1,1617892637111585989,1
val2,1617892637112159299,1
val3,1617892637113033611,1
txval,2,0,0.000000
end,1617892641894370601,1083050
end,1617892642467047470,1049222
end,1617892703266912486,1118102
